1,20201012110755chantale,1000048,1,0.7,0.7,10/8/2020,8,chantale
2,20201008112349chantale,1000048,1,0.7,0.7,10/8/2020,8,chantale
3,20201008113244chantale,1000253,1,0.75,0.75,10/8/2020,8,chantale
4,20201008113352chantale,1000265,3,0.05,0.15,10/8/2020,8,chantale
5,20201008113424chantale,1000232,1,0.25,0.25,10/8/2020,8,chantale
6,20201008113524chantale,1000214,1,1,1,10/8/2020,8,chantale
7,20201008113732chantale,1000033,5,0.5,2.5,10/8/2020,8,chantale
8,20201008113815chantale,1000253,1,0.75,0.75,10/8/2020,8,chantale
9,20201008113916chantale,1000252,2,0.4,0.8,10/8/2020,8,chantale
10,20201008113933chantale,2000013,1,3,3,10/8/2020,8,chantale
11,20201008115110chantale,2000013,1,3,3,10/8/2020,8,chantale
12,20201008115257chantale,3000004,3,1.5,4.5,10/8/2020,8,chantale
13,20201008115335chantale,1000023,1,1,1,10/8/2020,8,chantale
14,20201008115502chantale,1000032,3,0.5,1.5,10/8/2020,8,chantale
15,20201008115548chantale,1000133,1,5.5,5.5,10/8/2020,8,chantale
16,20201008120008chantale,1000215,14,0.2,2.8,10/8/2020,8,chantale
17,20201008120103chantale,1000032,1,0.5,0.5,10/8/2020,8,chantale
18,20201008120148chantale,1000014,1,0.9,0.9,10/8/2020,8,chantale
19,20201008120231chantale,1000267,3,0.05,0.15,10/8/2020,8,chantale
20,20201008120322chantale,1000221,5,0.1,0.5,10/8/2020,8,chantale
21,20201008120351chantale,1000024,1,0.85,0.85,10/8/2020,8,chantale
22,20201008120423chantale,1000123,1,2,2,10/8/2020,8,chantale
23,20201008120504chantale,1000226,2,1,2,10/8/2020,8,chantale
24,20201008120534chantale,1000003,2,2.5,5,10/8/2020,8,chantale
25,20201008120543chantale,1000252,1,0.4,0.4,10/8/2020,8,chantale
26,20201008121120chantale,1000288,1,2.5,2.5,10/8/2020,8,chantale
27,20201008121329chantale,1000030,1,0.5,0.5,10/8/2020,8,chantale
28,20201008121406chantale,1000265,8,0.05,0.4,10/8/2020,8,chantale
29,20201008121442chantale,1000051,1,0.35,0.35,10/8/2020,8,chantale
30,20201008121526chantale,1000245,1,1,1,10/8/2020,8,chantale
31,20201008121640chantale,1000252,5,0.4,2,10/8/2020,8,chantale
32,20201008121817chantale,1000214,1,1,1,10/8/2020,8,chantale
33,20201008122557chantale,1000007,1,0.6,0.6,10/8/2020,8,chantale
34,20201008122646chantale,1000030,1,0.5,0.5,10/8/2020,8,chantale
35,20201008122730chantale,1000214,1,1,1,10/8/2020,8,chantale
36,20201008122817chantale,1000221,10,0.1,1,10/8/2020,8,chantale
37,20201008122847chantale,1000017,1,3,3,10/8/2020,8,chantale
38,20201008122913chantale,1000258,1,0.5,0.5,10/8/2020,8,chantale
39,20201008122958chantale,1000018,1,3,3,10/8/2020,8,chantale
40,20201008123111chantale,1000029,1,0.85,0.85,10/8/2020,8,chantale
41,20201008123159chantale,2000004,1,1,1,10/8/2020,8,chantale
42,20201008123232chantale,1000253,1,0.75,0.75,10/8/2020,8,chantale
43,20201008123238chantale,1000200,1,6,6,10/8/2020,8,chantale
44,20201008123749chantale,1000265,1,0.05,0.05,10/8/2020,8,chantale
45,20201008123822chantale,1000251,1,5,5,10/8/2020,8,chantale
46,20201008123927chantale,1000226,1,1,1,10/8/2020,8,chantale
47,20201008124030chantale,1000090,1,12,12,10/8/2020,8,chantale
48,20201009125424chantale,1000051,1,0.35,0.35,10/9/2020,8,chantale
49,20201009125538chantale,1000051,3,0.35,1.05,10/9/2020,8,chantale
50,20201009125645chantale,1000113,2,2,4,10/9/2020,8,chantale
51,20201009125729chantale,1000253,2,0.75,1.5,10/9/2020,8,chantale
52,20201009125826chantale,1000092,1,2.5,2.5,10/9/2020,8,chantale
53,20201009125855chantale,1000003,2,2.5,5,10/9/2020,8,chantale
54,20201009125946chantale,1000004,1,2.5,2.5,10/9/2020,8,chantale
55,20201009130040chantale,1000178,1,1,1,10/9/2020,8,chantale
56,20201009130126chantale,1000153,1,1,1,10/9/2020,8,chantale
57,20201009130219chantale,1000048,2,0.7,1.4,10/9/2020,8,chantale
58,20201009130249chantale,1000265,1,0.05,0.05,10/9/2020,8,chantale
59,20201009130318chantale,1000239,1,5.5,5.5,10/9/2020,8,chantale
60,20201009130539chantale,1000215,12,0.2,2.4,10/9/2020,8,chantale
61,20201009130702chantale,1000032,7,0.5,3.5,10/9/2020,8,chantale
62,20201009130740chantale,1000214,1,1,1,10/9/2020,8,chantale
63,20201009130929chantale,1000033,10,0.5,5,10/9/2020,8,chantale
64,20201009131014chantale,1000264,1,0.1,0.1,10/9/2020,8,chantale
65,20201009131132chantale,1000265,6,0.05,0.3,10/9/2020,8,chantale
66,20201009131202chantale,3000002,2,0.05,0.1,10/9/2020,8,chantale
67,20201009132326chantale,1000024,1,0.85,0.85,10/9/2020,8,chantale
68,20201009132356chantale,1000014,1,0.9,0.9,10/9/2020,8,chantale
69,20201009132438chantale,1000218,1,1,1,10/9/2020,8,chantale
70,20201009132505chantale,1000037,1,1,1,10/9/2020,8,chantale
71,20201009132545chantale,1000263,2,0.15,0.3,10/9/2020,8,chantale
72,20201009132623chantale,3000004,2,1.5,3,10/9/2020,8,chantale
73,20201009132659chantale,1000193,1,0.5,0.5,10/9/2020,8,chantale
74,20201009132740chantale,1000265,4,0.05,0.2,10/9/2020,8,chantale
75,20201009132811chantale,1000253,3,0.75,2.25,10/9/2020,8,chantale
76,20201009132837chantale,1000193,1,0.5,0.5,10/9/2020,8,chantale
77,20201009132917chantale,1000263,2,0.15,0.3,10/9/2020,8,chantale
78,20201009145526chantale,3000006,1,3,3,10/9/2020,8,chantale
79,20201009145603chantale,1000134,1,0.4,0.4,10/9/2020,8,chantale
80,20201009145751chantale,1000015,1,2,2,10/9/2020,8,chantale
81,20201009145947chantale,1000258,1,0.5,0.5,10/9/2020,8,chantale
82,20201009150621chantale,1000004,2,2.5,5,10/9/2020,8,chantale
83,20201009150950chantale,1000084,1,18,18,10/9/2020,8,chantale
84,20201009151200chantale,1000249,1,6,6,10/9/2020,8,chantale
85,20201009151324chantale,1000233,1,0.15,0.15,10/9/2020,8,chantale
86,20201009151427chantale,1000131,1,3.5,3.5,10/9/2020,8,chantale
87,20201009151501chantale,1000168,1,2,2,10/9/2020,8,chantale
88,20201009151634chantale,3000010,1,6,6,10/9/2020,8,chantale
89,20201009151711chantale,1000049,1,0.35,0.35,10/9/2020,8,chantale
90,20201009151748chantale,1000245,1,1,1,10/9/2020,8,chantale
91,20201009151947chantale,1000008,1,0.6,0.6,10/9/2020,8,chantale
92,20201009152025chantale,1000211,1,3.5,3.5,10/9/2020,8,chantale
93,20201009152056chantale,1000049,1,0.35,0.35,10/9/2020,8,chantale
94,20201009152104chantale,1000232,1,0.25,0.25,10/9/2020,8,chantale
95,20201009152153chantale,1000194,1,1,1,10/9/2020,8,chantale
96,20201009152259chantale,1000049,1,0.35,0.35,10/9/2020,8,chantale
97,20201009152342chantale,1000023,2,1,2,10/9/2020,8,chantale
98,20201009152444chantale,1000267,1,0.05,0.05,10/9/2020,8,chantale
99,20201009152631chantale,1000049,1,0.35,0.35,10/9/2020,8,chantale
100,20201009152713chantale,3000015,1,0.5,0.5,10/9/2020,8,chantale
101,20201009152903chantale,1000120,3,1,3,10/9/2020,8,chantale
102,20201009152948chantale,1000083,1,10,10,10/9/2020,8,chantale
103,20201009153021chantale,1000049,1,0.35,0.35,10/9/2020,8,chantale
104,20201009153028chantale,1000304,2,2.5,5,10/9/2020,8,chantale
105,20201009153318chantale,1000236,2,0.1,0.2,10/9/2020,8,chantale
106,20201009153514chantale,1000139,1,6,6,10/9/2020,8,chantale
107,20201009153625chantale,3000027,1,12,12,10/9/2020,8,chantale
108,20201009153728chantale,1000120,1,1,1,10/9/2020,8,chantale
109,20201009153855chantale,1000051,2,0.35,0.7,10/9/2020,8,chantale
110,20201009154005chantale,1000049,1,0.35,0.35,10/9/2020,8,chantale
111,20201009154043chantale,1000049,1,0.35,0.35,10/9/2020,8,chantale
112,20201009154127chantale,1000021,1,0.85,0.85,10/9/2020,8,chantale
113,20201009154205chantale,1000286,1,0.25,0.25,10/9/2020,8,chantale
114,20201009154259chantale,1000304,2,2.5,5,10/9/2020,8,chantale
115,20201009154307chantale,1000086,1,16,16,10/9/2020,8,chantale
116,20201009154435chantale,1000121,1,2.5,2.5,10/9/2020,8,chantale
117,20201009154554chantale,1000120,3,1,3,10/9/2020,8,chantale
118,20201009154656chantale,1000258,1,0.5,0.5,10/9/2020,8,chantale
119,20201009154734chantale,1000014,2,0.9,1.8,10/9/2020,8,chantale
120,20201009154743chantale,1000257,1,0.6,0.6,10/9/2020,8,chantale
121,20201009155808chantale,1000090,1,12,12,10/9/2020,8,chantale
122,20201009155857chantale,1000257,1,0.6,0.6,10/9/2020,8,chantale
123,20201009160004chantale,1000184,1,2,2,10/9/2020,8,chantale
124,20201009160010chantale,1000195,5,0.15,0.75,10/9/2020,8,chantale
125,20201009160316chantale,1000195,1,0.15,0.15,10/9/2020,8,chantale
126,20201009160404chantale,1000032,1,0.5,0.5,10/9/2020,8,chantale
127,20201009160443chantale,1000218,1,1,1,10/9/2020,8,chantale
128,20201009160510chantale,1000030,1,0.5,0.5,10/9/2020,8,chantale
129,20201009160548chantale,1000046,1,53,53,10/9/2020,8,chantale
130,20201010160945chantale,1000221,1,0.1,0.1,10/10/2020,8,chantale
131,20201010161143chantale,1000087,2,5,10,10/10/2020,8,chantale
132,20201010161150chantale,1000258,1,0.5,0.5,10/10/2020,8,chantale
133,20201010161244chantale,1000224,1,0.1,0.1,10/10/2020,8,chantale
134,20201010161321chantale,1000051,1,0.35,0.35,10/10/2020,8,chantale
135,20201010161405chantale,1000265,1,0.05,0.05,10/10/2020,8,chantale
136,20201010161440chantale,1000195,2,0.15,0.3,10/10/2020,8,chantale
137,20201010161459chantale,1000195,1,0.15,0.15,10/10/2020,8,chantale
138,20201010161547chantale,1000030,1,0.5,0.5,10/10/2020,8,chantale
139,20201010161758chantale,1000215,16,0.2,3.2,10/10/2020,8,chantale
140,20201010161833chantale,3000003,1,0.05,0.05,10/10/2020,8,chantale
141,20201010161906chantale,1000232,1,0.25,0.25,10/10/2020,8,chantale
142,20201010161934chantale,1000022,1,0.85,0.85,10/10/2020,8,chantale
143,20201010162204chantale,1000033,17,0.5,8.5,10/10/2020,8,chantale
144,20201010162348chantale,1000032,11,0.5,5.5,10/10/2020,8,chantale
145,20201010162420chantale,1000255,1,1,1,10/10/2020,8,chantale
146,20201010162507chantale,1000014,1,0.9,0.9,10/10/2020,8,chantale
147,20201010162537chantale,1000224,1,0.1,0.1,10/10/2020,8,chantale
148,20201010162608chantale,1000288,1,2.5,2.5,10/10/2020,8,chantale
149,20201010162800chantale,1000212,1,2,2,10/10/2020,8,chantale
150,20201010162831chantale,1000051,1,0.35,0.35,10/10/2020,8,chantale
151,20201010162908chantale,1000034,1,0.85,0.85,10/10/2020,8,chantale
152,20201010163107chantale,1000004,4,2.5,10,10/10/2020,8,chantale
153,20201010163159chantale,1000228,1,0.4,0.4,10/10/2020,8,chantale
154,20201010163221chantale,1000232,1,0.25,0.25,10/10/2020,8,chantale
155,20201010163258chantale,1000046,1,53,53,10/10/2020,8,chantale
156,20201010163352chantale,1000049,1,0.35,0.35,10/10/2020,8,chantale
157,20201010163421chantale,1000221,2,0.1,0.2,10/10/2020,8,chantale
158,20201010163529chantale,1000244,1,5.5,5.5,10/10/2020,8,chantale
159,20201010163750chantale,1000265,4,0.05,0.2,10/10/2020,8,chantale
160,20201010163909chantale,1000014,1,0.9,0.9,10/10/2020,8,chantale
161,20201010163916chantale,1000005,2,2.5,5,10/10/2020,8,chantale
162,20201010164012chantale,1000233,2,0.15,0.3,10/10/2020,8,chantale
163,20201010164114chantale,3000010,1,6,6,10/10/2020,8,chantale
164,20201010164215chantale,1000014,1,0.9,0.9,10/10/2020,8,chantale
165,20201010164322chantale,1000258,4,0.5,2,10/10/2020,8,chantale
166,20201010164330chantale,1000245,1,1,1,10/10/2020,8,chantale
167,20201010164901chantale,1000014,1,0.9,0.9,10/10/2020,8,chantale
168,20201010164934chantale,1000168,1,2,2,10/10/2020,8,chantale
169,20201010165012chantale,1000192,1,10,10,10/10/2020,8,chantale
170,20201010165052chantale,1000194,1,1,1,10/10/2020,8,chantale
171,20201010165120chantale,1000048,1,0.7,0.7,10/10/2020,8,chantale
172,20201010165201chantale,1000048,2,0.7,1.4,10/10/2020,8,chantale
173,20201010165408chantale,1000243,1,1.5,1.5,10/10/2020,8,chantale
174,20201010165449chantale,1000251,1,5,5,10/10/2020,8,chantale
175,20201010165526chantale,1000037,1,1,1,10/10/2020,8,chantale
176,20201010165602chantale,1000193,1,0.5,0.5,10/10/2020,8,chantale
177,20201010165645chantale,1000030,1,0.5,0.5,10/10/2020,8,chantale
178,20201010165714chantale,1000051,1,0.35,0.35,10/10/2020,8,chantale
179,20201010165754chantale,1000090,1,12,12,10/10/2020,8,chantale
180,20201010165820chantale,1000083,1,10,10,10/10/2020,8,chantale
181,20201010165900chantale,1000007,1,0.6,0.6,10/10/2020,8,chantale
182,20201010165936chantale,1000141,1,8.5,8.5,10/10/2020,8,chantale
183,20201010165943chantale,1000030,1,0.5,0.5,10/10/2020,8,chantale
184,20201010170033chantale,1000030,1,0.5,0.5,10/10/2020,8,chantale
185,20201010170053chantale,1000121,1,2.5,2.5,10/10/2020,8,chantale
186,20201010170130chantale,1000048,1,0.7,0.7,10/10/2020,8,chantale
187,20201010170157chantale,1000023,1,1,1,10/10/2020,8,chantale
188,20201010170222chantale,1000139,1,6,6,10/10/2020,8,chantale
189,20201010170243chantale,1000194,1,1,1,10/10/2020,8,chantale
190,20201010170250chantale,1000005,6,2.5,15,10/10/2020,8,chantale
191,20201010170538chantale,1000162,1,6,6,10/10/2020,8,chantale
192,20201010170628chantale,1000177,1,1.5,1.5,10/10/2020,8,chantale
193,20201010170634chantale,1000285,1,1,1,10/10/2020,8,chantale
194,20201010170738chantale,1000289,1,2,2,10/10/2020,8,chantale
195,20201010170817chantale,1000084,1,18,18,10/10/2020,8,chantale
196,20201010170853chantale,1000003,1,2.5,2.5,10/10/2020,8,chantale
197,20201010170922chantale,1000245,1,1,1,10/10/2020,8,chantale
198,20201010170951chantale,1000051,1,0.35,0.35,10/10/2020,8,chantale
199,20201010171023chantale,1000258,2,0.5,1,10/10/2020,8,chantale
200,20201010171054chantale,1000005,2,2.5,5,10/10/2020,8,chantale
201,20201010171123chantale,1000003,1,2.5,2.5,10/10/2020,8,chantale
202,20201010171153chantale,1000005,4,2.5,10,10/10/2020,8,chantale
203,20201010171255chantale,1000005,6,2.5,15,10/10/2020,8,chantale
204,20201010171330chantale,1000283,6,1,6,10/10/2020,8,chantale
205,20201010171400chantale,1000248,1,5.5,5.5,10/10/2020,8,chantale
206,20201010171443chantale,1000242,1,1.25,1.25,10/10/2020,8,chantale
207,20201010171506chantale,1000009,1,2.5,2.5,10/10/2020,8,chantale
208,20201010171528chantale,1000001,1,2,2,10/10/2020,8,chantale
209,20201010171556chantale,1000234,1,0.1,0.1,10/10/2020,8,chantale
210,20201010171636chantale,1000046,4,53,212,10/10/2020,8,chantale
211,20201010171709chantale,1000296,3,70,210,10/10/2020,8,chantale
212,20201010171733chantale,1000253,1,0.75,0.75,10/10/2020,8,chantale
213,20201012185013gloire,1000215,1,0.2,0.2,10/12/2020,1,gloire
214,20201012185257gloire,1000023,1,1,1,10/12/2020,1,gloire
215,20201012190100gloire,1000177,1,1.5,1.5,10/12/2020,1,gloire
216,20201012190100gloire,1000017,1,3,3,10/12/2020,1,gloire
217,20201012202222gloire,1000263,1,0.15,0.15,10/12/2020,1,gloire
218,20201012202722gloire,1000253,1,0.75,0.75,10/12/2020,1,gloire
219,20201012212533gloire,1000214,1,1,1,10/12/2020,1,gloire
220,20201012215119gloire,1000024,2,0.85,1.7,10/12/2020,1,gloire
221,20201012215119gloire,1000032,2,0.5,1,10/12/2020,1,gloire
222,20201012215119gloire,1000023,1,1,1,10/12/2020,1,gloire
223,20201012215200gloire,1000033,1,0.5,0.5,10/12/2020,1,gloire
224,20201012220212gloire,1000033,1,0.5,0.5,10/12/2020,1,gloire
225,20201012220312gloire,1000033,1,0.5,0.5,10/12/2020,1,gloire
226,20201012224713gloire,1000134,2,0.4,0.8,10/12/2020,1,gloire
227,20201012224713gloire,1000242,1,1.25,1.25,10/12/2020,1,gloire
228,20201012224713gloire,1000099,1,2.5,2.5,10/12/2020,1,gloire
229,20201012224713gloire,1000258,2,0.5,1,10/12/2020,1,gloire
230,20201012224713gloire,2000003,1,2,2,10/12/2020,1,gloire
231,20201012224713gloire,1000202,1,6.5,6.5,10/12/2020,1,gloire
232,20201012224713gloire,1000095,1,3,3,10/12/2020,1,gloire
